Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,advertencias (product.metafields.custom.advertencias),alergenos (product.metafields.custom.alergenos),aviso_medico (product.metafields.custom.aviso_medico),bio (product.metafields.custom.bio),consejos_uso (product.metafields.custom.consejos_uso),expiration_date (product.metafields.custom.expiration_date),firesoft_codigo (product.metafields.custom.firesoft_codigo),firesoft_referencia (product.metafields.custom.firesoft_referencia),firesoft_sync_enabled (product.metafields.custom.firesoft_sync_enabled),gluten_free (product.metafields.custom.gluten_free),informacion_nutricional (product.metafields.custom.informacion_nutricional),Ingredientes (product.metafields.custom.ingredientes),instrucciones_uso (product.metafields.custom.instrucciones_uso),isgood (product.metafields.custom.isgood),is_discontinued (product.metafields.custom.is_discontinued),lactose_free (product.metafields.custom.lactose_free),recargo_rate (product.metafields.custom.recargo_rate),regulacion_legal (product.metafields.custom.regulacion_legal),supplier_name (product.metafields.custom.supplier_name),vat_rate (product.metafields.custom.vat_rate),vegan (product.metafields.custom.vegan),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
bebida-supreme-coco-1-l,Bebida Supreme Coco,Coco Supreme de Isola Bio: una bebida refrescante y aromática de coco para empezar el día con energía y exotismo. Ideal para rehidratarse y recargar energías después del estudio o el ejercicio. Simplemente supremo.,Isola Bio,,Alimentos,"Bio, Vegano, Sin gluten, 1 L",TRUE,Title,Default Title,,,,,,,,96,,shopify,9,deny,manual,3.45,,TRUE,TRUE,,,,,8023678728269,https://www.isolabio.com/wp-content/uploads/2019/10/bevande_cocco_supreme_es-600x600.png,1,Bebida Supreme Coco - Isola Bio,FALSE,Bebida Supreme Coco,Coco Supreme de Isola Bio: una bebida refrescante y aromática de coco para empezar el día con energía y exotismo. Ideal para rehidratarse y recargar energías después del estudio o el ejercicio. Simplemente supremo.,,,,TRUE,,2027-04-07,96,96,TRUE,TRUE,"Información nutricional por 100 ml: Valor energético: 80 kJ / 19 kcal. Grasas: 1,3 g, de las cuales saturadas: 1,1 g. Hidratos de carbono: 1,7 g, de los cuales azúcares: 1,2 g. Fibra alimentaria: 1,3 g. Proteínas: <0,5 g. Sal: 0,1 g.","Acqua, acqua di cocco da concentrato* (40%), latte di cocco* (8%) (cocco* (4,8%), acqua, stabilizzante: gomma di guar*), stabilizzanti: gomma di guar*, gomma di gellano, aroma naturale di cocco, sale marino. (=*biologico)

Para celíacos. Para intolerantes a la lactosa y a las proteínas de vaca.",,TRUE,FALSE,FALSE,1.40,,,10.00,TRUE,,,,1.93,active
tortitas-de-arroz-s-samo-200-g,Tortitas de Arroz,,Biocop,,Alimentos,"Sin gluten, Sésamo, 200 g",TRUE,Title,Default Title,,,,,,,,109,200,shopify,12,deny,manual,2.95,,TRUE,TRUE,,,,,8423903044490,https://www.biocop.es/1578160-superlarge_default/TORTITASARROZSESAMOBIOCOP200G.jpg,1,Tortitas de Arroz - Biocop,FALSE,Tortitas de Arroz,,,Alérgenos: Sésamo y prod. a base de sésamo,,FALSE,,2027-04-14,109,109,TRUE,TRUE,"Información nutricional (por 100 g): Valor energético: 1688 kJ / 399 kcal. Grasas: 5,5 g, de las cuales saturadas: 0,9 g. Hidratos de carbono: 77 g, de los cuales azúcares: 0,9 g. Proteínas: 8,4 g. Fibra alimentaria: 3,8 g. Sal: 0,28 g.","Arroz integral*, SÉSAMO* 5% y sal marina.
*De agricultura biológica.","Uso: Tentempié sano y ligero. Para comer a cualquier hora, o como desayuno o merienda. Ligeras, pueden llevarse a cualquier parte.",TRUE,FALSE,FALSE,1.40,,Biocop,10.00,FALSE,,g,,1.57,active
pan-crujiente-sarraceno-sin-azucares-anadidos,Pan crujiente Sarraceno Sin Azúcares añadidos,"¡La galleta salada original sin gluten de Pain des Fleurs, sin sal ni azúcar añadidos! Una receta crujiente, 100% de trigo sarraceno.",Le Pain des fleurs,,Alimentos,"Bio, Vegano, Sin gluten, Sin lactosa, 300 g",TRUE,Variante,300 g,,,,,,,,218,300,shopify,6,deny,manual,6.98,,TRUE,TRUE,,,,,3380380089800,https://www.lepaindesfleurs.com/app/uploads/2025/08/lpdf-9298-sarrasin-sans-sel-scan.png,1,Pan crujiente Sarraceno Sin Azúcares añadidos - Le Pain des fleurs,FALSE,Pan crujiente Sarraceno Sin Azúcares añadidos,"¡La galleta salada original sin gluten de Pain des Fleurs, sin sal ni azúcar añadidos! Una receta crujiente, 100% de trigo sarraceno.",,,,TRUE,,2026-12-09,218,218,TRUE,TRUE,"Valores nutricionales medios por cada 100g Energía 1 642 kJ / 388 kcal Grasas 2,7 g de las cuales ácidos grasos saturados 0,6 g Hidratos de carbono 75,2 g de los cuales azúcares 1,7 g Fibra dietética 4,5 g Proteínas 13,4 g Sal 0,01 g","Harina de trigo sarraceno*.
*Cultivado orgánicamente",,TRUE,FALSE,TRUE,1.40,,Biocop,10.00,TRUE,https://www.lepaindesfleurs.com/app/uploads/2025/08/lpdf-9298-sarrasin-sans-sel-scan.png,g,,4.51,active
pan-crujiente-sarraceno-sin-azucares-anadidos,,,,,,,,Variante,150 g,,,,,,,,2327,150,shopify,20,deny,manual,3.45,,TRUE,TRUE,,,,,3380380036637,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lepaindesfleurs.com/app/uploads/2025/08/lpdf-9298-sarrasin-sans-sel-scan.png,g,,2.45,active
trigo-sarraceno-500-g,Trigo Sarraceno,"Lleno de virtudes
Muy apreciado en Asia por sus innumerables virtudes, el trigo sarraceno se considera un cereal aunque es una semilla. Se consume muy a menudo en forma de harina.",eco BASICS,,Alimentos,500 g,TRUE,Title,Default Title,,,,,,,,267,500,shopify,1,deny,manual,2.95,,TRUE,TRUE,,,,,8411058001512,https://www.eco-basics.com/wp-content/uploads/2018/08/Trigo-Sarraceno-Photoroom.png,1,Trigo Sarraceno - eco BASICS,FALSE,Trigo Sarraceno,"Lleno de virtudes
Muy apreciado en Asia por sus innumerables virtudes, el trigo sarraceno se considera un cereal aunque es una semilla. Se consume muy a menudo en forma de harina.",,,,FALSE,,2026-09-28,267,267,TRUE,FALSE,,Este producto no lleva ningún ingrediente modificado genéticamente.,Tostar sin aceite. 1 parte de agua x 2 de trigo. A fuego alto llevar a ebullición. 10 min. a fuego medio y 5-7 min. a fuego bajo. Dejar reposar 5 min.,TRUE,FALSE,FALSE,1.40,,,10.00,FALSE,,g,,1.62,active
arroz-blanco-redondo-500-g,Arroz Blanco Redondo,"Versátil y absorbente
De grano redondo y excelente calidad, al cocinarlo aumenta su tamaño hasta un 60% en longitud y grosor. Permanece firme y absorbe hasta 3 partes de caldo por una de arroz en paellas y platos similares. Se recomienda este tipo de arroz tanto para comerlo hervido, como para paellas, guisos o potajes.",eco BASICS,,Alimentos,"Bio, Vegano, Sin gluten, Sin lactosa, 500 g",TRUE,Title,Default Title,,,,,,,,272,500,shopify,5,deny,manual,2.75,,TRUE,TRUE,,,,,8411058000409,https://www.eco-basics.com/wp-content/uploads/2018/08/Arroz_Redondo_Blanco_Bio_-removebg-preview.png,1,Arroz Blanco Redondo - eco BASICS,FALSE,Arroz Blanco Redondo,"Versátil y absorbente
De grano redondo y excelente calidad, al cocinarlo aumenta su tamaño hasta un 60% en longitud y grosor. Permanece firme y absorbe hasta 3 partes de caldo por una de arroz en paellas y platos similares. Se recomienda este tipo de arroz tanto para comerlo hervido, como para paellas, guisos o potajes",,,,TRUE,,2026-12-28,272,272,TRUE,TRUE,,Este producto no lleva ningún ingrediente modificado genéticamente.,Lavar antes para que quede suelto. 2 partes de agua x 1 de arroz. Tiempo: 15 minutos (caldoso) 20 minutos (suelto).,TRUE,FALSE,TRUE,1.40,,,10.00,TRUE,,g,,1.71,active
arroz-rojo-500-g,Arroz Rojo,"Aromático y nutritivo El arroz rojo es cultivado en el suelo volcánico mineralizado de la región de Tasikmalaya, en Indonesia. Con un sabor anuezado y terroso, es un arroz sabroso y aromático y mantiene el salvado intacto. El arroz rojo dará un toque de color y sabor a sus platos, es muy adecuado para ensaladas y pilafs. Muy indicado para mezclar con otros arroces integrales. Este producto no lleva ningún ingrediente modificado genéticamente. 2 partes de agua x 1 de arroz. Tiempo: de 40 minutos",eco BASICS,,Alimentos,"Bio, Vegano, Sin lactosa, 500 g",TRUE,Title,Default Title,,,,,,,,274,500,shopify,10,deny,manual,3.95,,TRUE,TRUE,,,,,8411058000485,https://www.eco-basics.com/wp-content/uploads/2018/08/Arroz-Rojo-Photoroom.png,1,Arroz Rojo - eco BASICS,FALSE,Arroz Rojo,"Aromático y nutritivo El arroz rojo es cultivado en el suelo volcánico mineralizado de la región de Tasikmalaya, en Indonesia. Con un sabor anuezado y terroso, es un arroz sabroso y aromático y mantiene el salvado intacto. El arroz rojo dará un toque de color y sabor a sus platos, es muy adecuado para ensaladas y pilaf",,"Puede contener trazas de gluten, frutos de cáscara, cacahuete, soja, sésamo y leche y sus derivados.",,TRUE,,2027-01-28,274,274,TRUE,FALSE,,,,TRUE,FALSE,TRUE,1.40,,ecoplaza,10.00,TRUE,,g,,1.84,active
semillas-de-linaza-dorada-250-g,Semillas de Linaza Dorada,,eco BASICS,,Alimentos,250 g,TRUE,Title,Default Title,,,,,,,,275,250,shopify,16,deny,manual,2.25,,TRUE,TRUE,,,,,8411058000607,https://www.eco-basics.com/wp-content/uploads/2018/08/Linaza-Dorada-Photoroom.png,1,Semillas de Linaza Dorada - eco BASICS,FALSE,Semillas de Linaza Dorada,,,,,FALSE,,2026-12-28,275,275,TRUE,FALSE,,,,TRUE,FALSE,FALSE,1.40,,ecoplaza,10.00,FALSE,,g,,1.13,active
semillas-de-linaza-marr-n-250-g,Semillas de Linaza Marrón,"Para ensaladas, postres o lo que te pase por la cabeza. Ideal para personas que limitan su ingesta de almidones y azúcares. Este producto no lleva ningún ingrediente modificado genéticamente.",eco BASICS,,Alimentos,"Bio, Vegano, Sin lactosa, 250 g",TRUE,Title,Default Title,,,,,,,,276,250,shopify,22,deny,manual,2.25,,TRUE,TRUE,,,,,8411058000621,https://www.eco-basics.com/wp-content/uploads/2018/08/Linaza-Marr%C3%B3n-Photoroom.png,1,Semillas de Linaza Marrón - eco BASICS,FALSE,Semillas de Linaza Marrón,"Para ensaladas, postres o lo que te pase por la cabeza. Ideal para personas que limitan su ingesta de almidones y azúcares. Este producto no lleva ningún ingrediente modificado genéticamente.",,"Puede contener trazas de gluten, frutos de cáscara, cacahuete, soja, sésamo y leche y sus derivados.",,TRUE,,2026-11-28,276,276,TRUE,FALSE,,,,TRUE,FALSE,TRUE,1.40,,ecoplaza,10.00,TRUE,,g,,0.92,active
semillas-de-amapola-150-g,Semillas de Amapola,"Para ensaladas, postres o lo que te pase por la cabeza. Se usa de hace más de 4000 años. Se utiliza entera o molida, en pasteles y pan, también en salsas y dulces. Este producto no lleva ningún ingrediente modificado genéticamente.",eco BASICS,,Alimentos,"Bio, Vegano, Sin lactosa, 150 g",TRUE,Title,Default Title,,,,,,,,279,150,shopify,1,deny,manual,2.65,,TRUE,TRUE,,,,,8411058001499,https://www.eco-basics.com/wp-content/uploads/2018/08/Semillas-de-Amapola-Bio-Photoroom.png,1,Semillas de Amapola - eco BASICS,FALSE,Semillas de Amapola,"Para ensaladas, postres o lo que te pase por la cabeza. Se usa de hace más de 4000 años. Se utiliza entera o molida, en pasteles y pan, también en salsas y dulces. Este producto no lleva ningún ingrediente modificado genéticamente.",,"Puede contener trazas de gluten, frutos de cáscara, cacahuete, soja, sésamo y leche y sus derivados.",,TRUE,,2026-03-29,279,279,TRUE,FALSE,,,,TRUE,FALSE,TRUE,1.40,,ecoplaza,10.00,TRUE,,g,,1.29,active
