category;name;brand;price;old_price;stock;bio;vegan;description;gluten_free;lactose_free;supplier_name;is_active;expiration_date;purchase_price;vat_rate;recargo_rate;promo_type;promo_active;sold_count;slug;flavor;size
Suplementos;Nerbiform Probiotics ;Nerbiform;33.5;;6;FALSE;FALSE;Complemento alimenticio a base de probióticos. Pensado para apoyar el equilibrio de la microbiota. Consulta el etiquetado para cepas y dosis.;FALSE;FALSE;INTERSA LABS;TRUE;;22.55;10;1.4;none;FALSE;0;Nerbiform-Probiotics-60capsulas;;60uds
Cosmetica;Essential‑E‑Oleum (aceite esencial);Essential‑E‑Oleum;17.5;;12;FALSE;TRUE;Aceite esencial para uso aromático y/o cosmético según el etiquetado. No ingerir salvo indicación expresa del fabricante.;FALSE;FALSE;INTERSA LABS;TRUE;;9.98;21;5.6;none;FALSE;0;Essential‑E‑Oleum-20g;;20g
Cosmetica;Aceite vegetal de semilla de calabaza ;INTERSA LABS;13.95;;4;FALSE;TRUE;Aceite vegetal de semilla de calabaza. Uso cosmético (piel y cabello) y/o alimentario según el etiquetado del producto.;FALSE;FALSE;INTERSA LABS;TRUE;;9.39;10;1.4;none;FALSE;0;Aceite-vegetal-semilla-calabaza-100 ml;;100ml
Suplementos;Phytobiopole MIX 10 Epiderm ;Phytobiopole;15.85;;1;FALSE;FALSE;Producto para cuidado tópico de la piel (línea Epiderm). Sigue las indicaciones del envase para modo de empleo.;FALSE;FALSE;INTERSA LABS;TRUE;;10.1;10;1.4;none;FALSE;0;Phytobiopole-MIX-10-Epiderm-50 ml;;50ml
Suplementos;Ferrocaps Q10 ;Ferrocaps;19.95;;4;FALSE;FALSE;Complemento alimenticio con coenzima Q10. Consulta el etiquetado para ingredientes, alérgenos y dosis diaria recomendada.;FALSE;FALSE;INTERSA LABS;TRUE;;13.07;10;1.4;none;FALSE;0;Ferrocaps-Q10-60uds;;60uds
Suplementos;Aprolis Propobiotic;Aprolis;17.96;;4;FALSE;FALSE;Complemento alimenticio en formato líquido (30 ml). Consulta el etiquetado para composición, alérgenos y pauta de uso.;FALSE;FALSE;INTERSA LABS;TRUE;;11.43;10;1.4;none;FALSE;0;Aprolis-Propobiotic-30ml;;30ml
Cosmetica;Hidrolato de Manzanilla Romana BIO;INTERSA LABS;17.1;;4;TRUE;TRUE;"Hidrolato (agua floral) de manzanilla romana ecológica. Ideal como tónico suave o para pulverizar; evitar contacto directo con ojos.";FALSE;FALSE;INTERSA LABS;TRUE;;9.48;21;5.6;none;FALSE;0;Hidrolato- Manzanilla-Romana-BIO-120ml;;120ml
Cosmetica;Aceite vegetal de ricino;INTERSA LABS;16.05;;4;FALSE;TRUE;Aceite de ricino para uso cosmético: cuidado de pestañas, cejas, uñas y cabello. Uso externo.;FALSE;FALSE;INTERSA LABS;TRUE;;8.92;21;5.6;none;FALSE;0;Aceite-vegetal-ricino-100 ml;;100ml
Cosmetica;Aceite esencial de Eucalipto radiata BIO;INTERSA LABS;8.18;;3;TRUE;TRUE;Aceite esencial de eucalipto radiata ecológico (10 ml) para uso aromático/cosmético según el etiquetado. Mantener fuera del alcance de niños.;FALSE;FALSE;INTERSA LABS;TRUE;;5.14;10;1.4;none;FALSE;0;Aceite-esencial-Eucalipto-radiata- BIO-10ml;;10ml
Suplementos;Drena'Ren BIO;Drena'Ren;19.25;;9;TRUE;FALSE;Complemento alimenticio en ampollas (20 uds) con enfoque drenante. Consulta el etiquetado para ingredientes, alérgenos y modo de empleo.;FALSE;FALSE;INTERSA LABS;TRUE;;12.27;10;1.4;none;FALSE;0;Drena'Ren-BIO-20uds;;20uds
Suplementos;Bitransamin;INTERSA LABS;15.6;;3;FALSE;FALSE;Complemento alimenticio en cápsulas (60 uds). Revisa el etiquetado para composición, alérgenos y dosis diaria recomendada.;FALSE;FALSE;INTERSA LABS;TRUE;;9.8;10;1.4;none;FALSE;0;Bitransamin-60uds;;60uds
Suplementos;Rábano negro y alcachofa BIO ;INTERSA LABS;18.95;;3;TRUE;FALSE;Complemento alimenticio en ampollas (20 uds) con extractos de rábano negro y alcachofa. Consulta el etiquetado para ingredientes y modo de empleo.;FALSE;FALSE;INTERSA LABS;TRUE;;12.08;10;1.4;none;FALSE;0;Rábano-negro-alcachofa-BIO-20uds;;20uds
Suplementos;EPA‑Biodetox BIO;INTERSA LABS;20.75;;6;TRUE;FALSE;Complemento alimenticio en formato ampollas (20 uds) de la línea EPA‑Biodetox. Consulta el etiquetado para ingredientes, alérgenos y modo de empleo.;FALSE;FALSE;INTERSA LABS;TRUE;;13.22;10;1.4;none;FALSE;0;epa-biodetox-bio-20-ampollas;;20 uds
Suplementos;Chlorelpure+;INTERSA LABS;22.55;;6;FALSE;FALSE;Complemento/bebida funcional en formato líquido (500 ml) de la línea Chlorelpure+. Revisa el etiquetado para composición, alérgenos y pauta de uso.;FALSE;FALSE;INTERSA LABS;TRUE;;14.57;10;1.4;none;FALSE;0;chlorelpure-500-ml;;500 ml
Suplementos;Dren Actif Sin;INTERSA LABS;22;;9;FALSE;FALSE;Complemento/bebida funcional en formato líquido (500 ml) de la línea Dren Actif Sin. Consulta el etiquetado para ingredientes, alérgenos y recomendaciones de uso.;FALSE;FALSE;INTERSA LABS;TRUE;;14.02;10;1.4;none;FALSE;0;dren-actif-sin-500ml;;500 ml
