id,product_id,ingredients,nutritional_info,usage_instructions,warnings,allergens,usage_tips,medical_disclaimer,legal_regulation,created_at,updated_at,product_slug
1,14,,,Cocer la pasta en abundante agua hirviendo con sal según el tiempo indicado en el paquete.,Revisar ingredientes y alérgenos en la etiqueta antes de consumir.,Contiene gluten,Ideal para combinar con salsas tradicionales y verduras.,,"Conservar en un lugar fresco y seco, protegido de la luz.",2026-07-07 12:29:17.523131+00,2026-07-07 12:46:00.455058+00,macarrones-de-trigo-castagno-500-g-500-g
2,30,,,Usar como ingrediente en recetas o para endulzar de forma natural.,Revisar ingredientes y alérgenos en la etiqueta antes de consumir.,No especificado por el fabricante. Revisar siempre la etiqueta antes de consumir.,Ideal para sustituir azúcares refinados y dar sabor natural a postres y platos.,,"Conservar en lugar fresco y seco, bien cerrado.",2026-07-07 12:31:11.470668+00,2026-07-07 16:25:25.858405+00,pasta-de-trigo-500g-500-g
3,1053,,,Consumir según preferencia o según las indicaciones del envase.,Revisar ingredientes y alérgenos en la etiqueta antes de consumir.,No especificado por el fabricante. Revisar siempre la etiqueta antes de consumir.,Usar como parte de una alimentación variada y equilibrada.,,"Conservar en lugar fresco, seco y protegido de la luz. Una vez abierto, seguir las indicaciones del envase.",2026-07-07 12:31:39.875427+00,2026-07-07 16:12:18.323399+00,macarrones-tricolor-castagno-500-g-500-g
8,1861,,"Los aceites esenciales de ESENTIAL’ARÔMS son productos de alta calidad, 100% puros y naturales por el proceso de selección de los mismos y por su forma de fabricación y control.  
Un aceite esencial A.E.B.B.D., es decir, Aceite Esencial Botánica y Bioquímicamente Definido. Se trata, en realidad, de un aceite esencial 100% puro y natural que procede de una destilación completa por arrastre de vapor (sin el uso de ningún producto químico para su extracción) y que ha seguido rigurosos controles de calidad. Tampoco se adicionan colorantes ni se aplican procesos de deterpenado, rectificado ni redes¬tilación.  

SELECCIÓN DE LOS ACEITES ESENCIALES (A.E.B.B.D.)  
Los aceites esenciales de Esential’Arôms se caracterizan por ser Aceites Esenciales Botánica y Bioquímicamente Definidos (A.E.B.B.D.). Esto significa que cada uno de ellos ha sido seleccionado en función de los siguientes parámetros:  
1. Especie botánica: las plantas utilizadas son clasificadas botánicamente. Por lo tanto, podemos informar sin ninguna duda acerca de la especie botánica según la nomenclatura latina internacional.  
2. Órgano productor (o. p.): no todas las partes de la planta tienen la misma composición. Por lo tanto, es necesario escoger el órgano (raíz, semilla, hojas…) que, una vez destilado, contendrá las sustancias características.  
3. Especificidad bioquímica (s. b.) o QUIMIOTIPO: una vez destilado el aceite esencial, es necesaria la verificación de su composición química, que caracterizará su utilización. La comprobación del correcto biotipo elegido se realiza a través de un control analítico por cromatografía gaseosa acoplada a la espectrofotometría de masas.  
4. Biotipo: en función del hábitat donde se desarrolla la especie botánica (tipo de terreno, altitud…), la composición del aceite esencial puede variar, de modo que la definición del quimiotipo resulta esencial.","1 gota de aceite esencial 1-3 veces al día mezclada en una cucharadita de café de aceite de oliva, miel, azúcar de caña o sobre un comprimido neutro específico (1 ml de aceite esencial de ravintsara contiene 35 gotas).  
¿CÓMO UTILIZAR LOS ACEITES ESENCIALES?  
· Todos los aceites esenciales están desaconsejados en mujeres embarazadas, durante la lactancia y en menores de 6 años, en algunas ocasiones menores de 12 años y en otras están reservados a adultos.  
· El modo de empleo general es el siguiente: 1 gota de aceite esencial de 1 a 3 veces al día mezclada en una cucharadita de postre de aceite de oliva. Seguir estrictamente el modo de empleo indicado en el estuche.  
· Pueden utilizarse como ingrediente culinario ajustando la cantidad, ya que pueden dar lugar a productos de sabor demasiado intenso.  
· No debe realizarse un uso interno de los aceites esenciales cosméticos.  
· No se aconseja tomar los aceites esenciales por vía interna de forma continuada.  
· En general, los aceites esenciales alimenticios también pueden ser utilizados con finalidades cosméticas.","1. Respetar la dosificación establecida en el modo de empleo.  
2. Este producto es un complemento alimenticio y no debe utilizarse como sustituto de una dieta equilibrada. Es importante seguir una dieta variada y equilibrada y un estilo de vida saludable.",Contiene limoneno y linalool.,Usar en pequeñas cantidades y ventilar adecuadamente el espacio si se utiliza en difusor.,Producto para uso en aromaterapia. No ingerir.,"Conservar en lugar fresco y oscuro, protegido de la luz y el calor.",2026-07-07 15:50:09.447391+00,2026-07-07 19:07:49.652914+00,aceite-esencial-ravintsara-5-ml
9,1988,Aceite vegetal virgen de semillas de rosa mosqueta de Chile · Selección (Rosa moschata Mill.).,No aplica,"Tomar de 1,5 ml (45 gotas) a 5 ml 1-2 veces al día. En niños mayores de 3 años, se recomienda la dosis mínima descrita en el modo de empleo. Tradicionalmente, el aceite de rosa mosqueta se ha utilizado para el cuidado de la piel. Contiene cucharilla dosificadora de 5 ml.",Este producto es un complemento alimenticio y no debe utilizarse como sustituto de una dieta equilibrada. Es importante seguir una dieta variada y equilibrada y un estilo de vida saludable. Respetar la dosificación establecida en el modo de empleo. Manten,Puede contener componentes aromáticos naturalmente presentes. Consultar etiqueta del fabricante.,Usar en pequeñas cantidades y ventilar adecuadamente el espacio si se utiliza en difusor.,Uso externo. Mantener fuera del alcance de los niños.,"Conservar en lugar fresco y seco, protegido de la luz solar directa.",2026-07-07 15:50:26.378368+00,2026-07-07 19:20:07.254551+00,lycorose-50-ml
10,2369,Ácido hialurónico de origen natural; Siempreviva; Hamamelis; Árnica,"Aqua, Glycerin, Helichrysum Italicum Extract*, Arnica Montana Flower Extract*, Xanthan Gum, Hamamelis Virginiana Leaf Water*, Helianthus Annuus Seed Oil*, Sodium Chloride, Benzyl Alcohol, Sodium Hydroxide, Helichrysum Italicum Flower Oil*, Salicylic Acid, Sorbic Acid, Potassium Sorbate, Hydrolyzed Hyaluronic Acid, Dehydroacetic Acid, Phytic Acid, Tocopherol, Limonene**, Linalool**. *Ingredientes procedentes de la Agricultura Ecológica. El 98% del total es de origen natural. El 10% del total de los ingredientes procede de la Agricultura Ecológica. **Naturalmente contenido en los ingredientes vegetales.","Aplicar realizando un suave masaje para favorecer su absorción. Evitar el contacto con heridas, microheridas, los ojos y las mucosas.","No ingerir. Mantener fuera del alcance de los niños. En caso de irritación, suspender su uso.",,,,,2026-07-07 15:50:43.887249+00,2026-08-04 12:27:34.595733+00,hidrogel-hematocure-100-ml
11,2523,Aceite esencial de citronela de Ceilán* (Cymbopogon nardus). *Procedente de la Agricultura Ecológica.,"Los aceites esenciales de ESENTIAL’ARÔMS son productos de alta calidad, 100% puros y naturales por el proceso de selección de los mismos y por su forma de fabricación y control.  
Un aceite esencial A.E.B.B.D., es decir, Aceite Esencial Botánica y Bioquímicamente Definido. Se trata, en realidad, de un aceite esencial 100% puro y natural que procede de una destilación completa por arrastre de vapor (sin el uso de ningún producto químico para su extracción) y que ha seguido rigurosos controles de calidad. Tampoco se adicionan colorantes ni se aplican procesos de deterpenado, rectificado ni redes¬tilación.  

SELECCIÓN DE LOS ACEITES ESENCIALES (A.E.B.B.D.)  
Los aceites esenciales de Esential’Arôms se caracterizan por ser Aceites Esenciales Botánica y Bioquímicamente Definidos (A.E.B.B.D.). Esto significa que cada uno de ellos ha sido seleccionado en función de los siguientes parámetros:  
1. Especie botánica: las plantas utilizadas son clasificadas botánicamente. Por lo tanto, podemos informar sin ninguna duda acerca de la especie botánica según la nomenclatura latina internacional.  
2. Órgano productor (o. p.): no todas las partes de la planta tienen la misma composición. Por lo tanto, es necesario escoger el órgano (raíz, semilla, hojas…) que, una vez destilado, contendrá las sustancias características.  
3. Especificidad bioquímica (s. b.) o QUIMIOTIPO: una vez destilado el aceite esencial, es necesaria la verificación de su composición química, que caracterizará su utilización. La comprobación del correcto biotipo elegido se realiza a través de un control analítico por cromatografía gaseosa acoplada a la espectrofotometría de masas.  
4. Biotipo: en función del hábitat donde se desarrolla la especie botánica (tipo de terreno, altitud…), la composición del aceite esencial puede variar, de modo que la definición del quimiotipo resulta esencial.",Aplicar en difusores de aroma o según indicación profesional.,"1. Respetar la dosificación establecida en el modo de empleo.  
2. Este producto es un complemento alimenticio y no debe utilizarse como sustituto de una dieta equilibrada. Es importante seguir una dieta variada y equilibrada y un estilo de vida saludable.","Contiene limoneno, linalool, citronelol, geraniol y metil isoeugenol (no debe superar el 0,002%. Utilizar en diluciones menores del 0,25%).","Ideal para crear ambientes frescos y naturales, ayudar a repeler insectos de forma natural.",Uso externo. Mantener fuera del alcance de los niños.,"Conservar en lugar fresco y seco, alejado de la luz directa.",2026-07-07 15:51:15.779678+00,2026-07-09 09:26:57.089389+00,aceite-esencial-de-citronella-10-ml
12,2940,,,Tomar según la dosis recomendada en el envase o según indicación de un profesional sanitario.,"Consulte a su médico antes de usar si está embarazada, lactando o tiene alguna condición médica.",No especificado por el fabricante. Revisar siempre la etiqueta antes de consumir.,Tomar de forma constante siguiendo las indicaciones del envase y dentro de una dieta equilibrada.,Este producto es un complemento alimenticio y no debe utilizarse como sustituto de una dieta equilibrada.,"Conservar en un lugar fresco y seco, protegido de la luz y la humedad.",2026-07-07 15:52:54.00774+00,2026-07-07 19:15:07.443639+00,probiotax-microbiota-coco-150-g
13,3644,"Berbevis® [Berberina en matriz de fosfolípidos: Extracto seco de Agracejo (Berberis aristata DC, raíz, 30% berberina), aislado de proteína de guisante, lecitina de Girasol (fosfolípidos), extracto de semilla de uva)], Extracto seco de Gymnema (Gymnema sylvestre, hojas, 75% ácido Gimnémico) cápsula [agente de recubrimiento (hidroxipropilmetilcelulosa)], antiaglomerantes (estearato magnésico y dióxido de silicio), Extracto seco de Pimienta negra (Piper nigrum L., fruto, 95% piperina) y picolinato de cromo.","Ingredientes activos por 2 cápsulas: Berbevis® 550 mg, berberina 165 mg, extracto de Gymnema 280 mg, ácidos gimnémicos 210 mg, extracto de pimienta negra 5,25 mg, piperina 5 mg y cromo 100 µg (250% VRN).","Tomar dos cápsulas al día, preferiblemente junto con las comidas principales, 30 minutos antes.","Los complementos alimenticios no deben utilizarse como sustitutos de una dieta variada, equilibrada y un modo de vida saludable. No superar la dosis diaria recomendada. Mantener fuera del alcance de los niños más pequeños. Conservar en un lugar fresco, seco y protegido de la luz.",No contiene alérgenos indicados en el anexo II del Reglamento (UE) 1169/2011.,Tomar de forma constante siguiendo las indicaciones del envase y dentro de una dieta equilibrada.,Este producto es un complemento alimenticio y no debe usarse como sustituto de una dieta equilibrada.,"Se certifica que el producto Berberina GLP-1 Booster es No GMO, ya que no contiene ingredientes procedentes de organismos modificados genéticamente y no está sometido al etiquetado de OMG de los Reglamentos (UE) 1829/2003 y 1830/2003. Está fabricado en la Unión Europea, es no ionizado porque no se usa radiación ionizante en ningún punto del proceso de fabricación conforme a las Directivas 1999/2/CE y 1999/3/CE, y está libre de cualquier riesgo de BSE/TSE según el Reglamento (CE) 999/2001.",2026-07-07 15:53:15.832792+00,2026-07-07 18:53:40.777247+00,berberina-60-c-psulas
14,3643,"Extracto seco de Trébol rojo titulado al 20% en isoflavonas (Trifolium pratense L.- parte aérea), proteína de cáñamo (Cannabis sativa – semilla), extracto seco de Ashawagandha titulado al 5% en whitanólidos (Whithania somnífera – raiz), extracto seco de Cimífuga titulado al 2,5% en glucósidos triterpénicos (Cimicifuga racemosa – rizoma), GABA (ácido gamma-aminobutírico), vitamina D3 microencapsulada (colecalciferol), melatonina, vitamina B6 (piridoxina HCl), vitamina B12 (cianocobalamina).

Cápsula vegetal: agente de recubrimiento(hidroxipropilmetilcelulosa).","Ingredientes activos por 1 cápsula: extracto seco de trébol rojo (Trifolium pratense, parte aérea) 200 mg, isoflavonas 40 mg, extracto seco de ashwagandha (Withania somnifera, raíz) 80 mg, witanólidos 4 mg, extracto seco de cimicífuga (Cimicifuga racemosa, rizoma) 70 mg, glucósidos triterpénicos 1,75 mg, GABA (ácido gamma-aminobutírico) 50 mg, melatonina 1,9 mg, vitamina B6 en forma de hidroclorato de piridoxina 2,8 mg (200% VRN), vitamina B12 en forma de cianocobalamina 5 μg (200% VRN) y vitamina D3 en forma de colecalciferol 15 μg (300% VRN).",Tomar una cápsula al día un poco antes de irse a dormir.,"Los complementos alimenticios no deben utilizarse como sustitutos de una dieta variada, equilibrada y un modo de vida saludable. No superar la dosis diaria recomendada. Mantener fuera del alcance de los niños más pequeños. Conservar en un lugar fresco, seco y protegido de la luz.",No contiene alérgenos de acuerdo con el Reglamento (UE) no 1169/2011.,Utilizar a diario. Adoptar un estilo de vida y una dieta saludables.,"Suplemento alimenticio. No sustituye una dieta equilibrada. Consultar con un profesional de la salud antes de su uso en caso de embarazo, lactancia o tratamiento médico.","Su comercialización es legal en toda Europa. Se certifica que el producto es No GMO, ya que no contiene ingredientes procedentes de organismos modificados genéticamente y no está sometido al etiquetado de OMG del Reglamento (UE) 1829/2003. También es no ionizado, ya que no se usa radiación ionizante en ningún punto del proceso de fabricación conforme a la Directiva 1999/2/CE. Está libre de cualquier riesgo de BSE/TSE según el Reglamento (CE) 999/2001 y está fabricado en la Unión Europea.",2026-07-07 15:53:51.51662+00,2026-07-07 18:54:09.834482+00,cannagym-menopausia-noche-45-c-psulas
